,#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
126,127,Adrian Morejon,670970,670970,20039,10123.0,SD,SP,SP
132,133,Adrian Sampson,592716,13339,13339,9382.0,FA,RP,RP
148,149,AJ Pollock,572041,9256,9256,7681.0,SF,OF,OF
149,150,AJ Smith-Shawver,700363,700363,29960,11774.0,ATL,SP,SP
151,152,Akil Baddoo,668731,668731,22168,10124.0,DET,OF,OF
153,154,Alan Busenitz,641427,641427,15239,9685.0,CIN,RP,RP
161,162,Alan Trejo,676701,676701,20056,11036.0,COL,2B/SS,2B/SS
164,165,Albert Abreu,656061,656061,17485,9895.0,NYY,RP,RP
174,175,Alberto Baldonado,593604,593604,11812,11277.0,FA,RP,RP
194,195,Alec Bohm,664761,664761,21618,10125.0,PHI,1B/3B,1B/3B
195,196,Alec Burleson,676475,676475,27615,11421.0,STL,1B/OF,1B/OF
196,197,Alec Marsh,679525,679525,27451,11144.0,KC,SP,SP
197,198,Alec Mills,621219,13834,13834,9204.0,CIN,SP,SP
200,201,Aledmys Diaz,649557,15937,15937,9269.0,OAK,2B/SS/ 3B/OF,1B/2B/ SS/3B/OF
203,204,Alejandro Kirk,672386,672386,22581,10851.0,TOR,C,C
210,211,Alejandro Pie,682636,682636,sa3008754,10374.0,TB,SS,SS
212,213,Alejo Lopez,664670,664670,21127,11230.0,CIN,2B,2B
213,214,Alek Jacob,689690,689690,29628,11824.0,SD,RP,RP
214,215,Alek Manoah,666201,666201,26410,10854.0,TOR,SP,SP
215,216,Alek Thomas,677950,677950,23792,10126.0,ARI,OF,OF
222,223,Alex Bregman,608324,17678,17678,9415.0,HOU,3B,3B
224,225,Alex Call,669743,669743,19296,10520.0,WSH,OF,OF
225,226,Alex Claudio,592222,12890,12890,8868.0,MIL,RP,RP
226,227,Alex Cobb,502171,6562,6562,8058.0,SF,SP,SP
227,228,Alex Colome,517008,6661,6661,8505.0,FA,RP,RP
233,234,Alex Faedo,656412,656412,19874,10127.0,DET,SP,SP
234,235,Alex FaGalde,676891,676891,sa3004602,10889.0,STL,SP,SP
240,241,Alex Jackson,656577,656577,17276,8963.0,TB,C,C
241,242,Alex Kirilloff,666135,666135,20325,10128.0,MIN,1B/OF,1B/OF
242,243,Alex Lange,656638,656638,19883,11062.0,DET,RP,RP
250,251,Alex Reyes,621052,15015,15015,8973.0,LAD,RP,RP
254,255,Alex Speas,666208,666208,21859,10985.0,TEX,RP,RP
257,258,Alex Verdugo,657077,657077,17027,9757.0,BOS,OF,OF
258,259,Alex Vesia,681911,681911,25007,10784.0,LAD,RP,RP
260,261,Alex Wood,622072,13781,13781,8506.0,SF,SP,SP
261,262,Alex Young,622065,622065,18333,10644.0,CIN,RP,RP
266,267,Alexander Canario,672744,672744,sa3003316,10129.0,CHC,OF,OF
282,283,Alexander Vargas,683061,683061,sa3008851,10375.0,NYY,SS,SS
286,287,Alexis Diaz,664747,664747,21132,11350.0,CIN,RP,RP
293,294,Alfonso Rivas,663845,663845,21560,11272.0,PIT,1B,1B
304,305,Ali Sanchez,645305,645305,18551,10752.0,ARI,C,C
305,306,Alika Williams,675961,675961,27604,11833.0,PIT,SS,SS
312,313,Allan Winans,642216,642216,21238,11829.0,ATL,SP,SP
317,318,Alvin Guzman,682630,682630,sa3008748,10376.0,ARI,OF,OF
320,321,Amed Rosario,642708,642708,15518,9500.0,LAD,SS,SS/OF
323,324,Amir Garrett,607237,14375,14375,9253.0,CLE,RP,RP
337,338,Andre Jackson,656578,656578,21298,11056.0,PIT,RP,RP
338,339,Andre Lipcius,686531,686531,sa3010401,11673.0,DET,2B,2B
340,341,Andre Pallante,669467,669467,26108,11442.0,STL,RP,RP
341,342,Andre Scrubb,668687,668687,20329,11005.0,FA,RP,RP
347,348,Andres Gimenez,665926,665926,19950,10133.0,CLE,2B,2B/SS
350,351,Andres Machado,600921,600921,14681,9753.0,WSH,RP,RP
354,355,Andres Munoz,662253,662253,20373,10134.0,SEA,RP,RP
363,364,Andrew Abbott,671096,671096,29911,11802.0,CIN,SP,SP
368,369,Andrew Bellatti,571479,10657,10657,9041.0,PHI,RP,RP
369,370,Andrew Benintendi,643217,17901,17901,9417.0,CHW,OF,OF
372,373,Andrew Chafin,605177,12988,12988,8863.0,MIL,RP,RP
378,379,Andrew Heaney,571760,15423,15423,8670.0,TEX,SP,SP
382,383,Andrew Kittredge,552640,12828,12828,9706.0,TB,RP,RP
383,384,Andrew Knapp,595284,14942,14942,9566.0,FA,C,C
384,385,Andrew Knizner,668800,668800,19514,10135.0,STL,C,C
388,389,Andrew McCutchen,457705,9847,9847,6696.0,PIT,OF,OF
398,399,Andrew Nardi,677053,677053,25942,11536.0,MIA,RP,RP
400,401,Andrew Painter,691725,691725,sa3017880,11585.0,PHI,SP,SP
406,407,Andrew Romine,461865,1159,1159,7985.0,FA,DH,SS
411,412,Andrew Suarez,605498,605498,18300,9602.0,STL,RP,RP
414,415,Andrew Vasquez,607755,607755,19482,10088.0,DET,RP,RP
415,416,Andrew Vaughn,683734,683734,26197,10788.0,CHW,1B/OF,1B/OF
416,417,Andrew Velazquez,623205,623205,14196,10099.0,LAA,SS,SS
418,419,Andrew Wantz,681806,681806,24933,11233.0,LAA,RP,RP
424,425,Andruw Monasterio,655316,655316,19455,11797.0,MIL,2B/3B,2B/3B
434,435,Andy Ibanez,628451,628451,18819,10979.0,DET,2B/3B/ OF,1B/2B/ 3B/OF
436,437,Andy Pages,681624,681624,sa3005625,11682.0,LAD,OF,OF
444,445,Aneurys Zabala,656008,656008,20802,11491.0,DET,RP,RP
456,457,Angel De Jesus,669804,669804,22323,11343.0,DET,RP,RP
459,460,Angel Felipe,665734,665734,21163,11772.0,OAK,RP,RP
473,474,Angel Perdomo,622780,622780,17759,10706.0,PIT,RP,RP
486,487,Angel Zerpa,672582,672582,22717,11172.0,KC,RP,RP
487,488,Angelo Castellano,613546,613546,sa657521,10567.0,KC,3b,3b
494,495,Anthony Banda,607455,607455,14706,9563.0,WSH,RP,RP
496,497,Anthony Bass,542914,542914,7982,8092.0,FA,RP,RP
497,498,Anthony Bemboom,621532,621532,13854,10618.0,BAL,C,C
498,499,Anthony Bender,669622,669622,19742,11205.0,MIA,RP,RP
500,501,Anthony DeSclafani,543101,13050,13050,8786.0,SF,SP,SP
502,503,Anthony Gose,543238,5097,5097,7938.0,CLE,RP,RP
505,506,Anthony Kay,641743,641743,20387,10694.0,CHC,RP,RP
507,508,Anthony Misiewicz,664948,664948,18152,10875.0,NYY,RP,RP
512,513,Anthony Rendon,543685,12861,12861,8225.0,LAA,3B,3B
513,514,Anthony Rizzo,519203,3473,3473,8018.0,NYY,1B,1B
516,517,Anthony Santander,623993,623993,14551,9599.0,BAL,1B/OF,1B/OF
517,518,Anthony Seigler,678011,678011,sa3006894,10136.0,NYY,C,C
524,525,Anthony Volpe,683011,683011,27647,11325.0,NYY,SS,SS
537,538,Antonio Senzatela,622608,15488,15488,9297.0,COL,SP,SP
549,550,Archie Bradley,605151,12918,12918,8628.0,MIA,RP,RP
555,556,Ariel Jurado,642558,642558,17030,9865.0,FA,SP,SP
567,568,Arodys Vizcaino,527055,5498,5498,8135.0,FA,RP,RP
569,570,Aroldis Chapman,547973,10233,10233,7709.0,TEX,RP,RP
576,577,Asa Lacy,669370,669370,sa3014423,11116.0,KC,SP,SP
578,579,Asdrubal Cabrera,452678,4962,4962,6522.0,CIN,3B,1B/3B
581,582,Ashton Goudeau,623485,623485,15139,10742.0,DET,RP,RP
588,589,Austin Adams,613534,613534,13801,9531.0,ARI,RP,RP
591,592,Austin Barnes,605131,12158,12158,9049.0,LAD,C,C
592,593,Austin Beck,675648,675648,sa3004055,10139.0,OAK,OF,OF
595,596,Austin Bibens-Dirkx,502212,502212,9559,9653.0,FA,SP,SP
600,601,Austin Cox,680735,680735,24604,10934.0,KC,SP,SP
606,607,Austin Gomber,596295,16561,16561,9847.0,COL,SP,SP
608,609,Austin Hays,669720,669720,19363,9763.0,BAL,OF,OF
609,610,Austin Hedges,595978,12976,12976,8431.0,TEX,C,C
610,611,Austin Hendrick,690988,690988,sa3014521,10828.0,CIN,OF,OF
614,615,Austin Martin,668885,668885,sa3014454,10833.0,MIN,SS,SS
615,616,Austin Meadows,640457,640457,15672,9783.0,DET,OF,OF
617,618,Austin Nola,543592,15941,15941,9504.0,SD,C,C
619,620,Austin Pruitt,643493,643493,15290,9517.0,OAK,RP,RP
621,622,Austin Riley,663586,663586,18360,9821.0,ATL,3B,3B
623,624,Austin Romine,519222,5491,5491,8193.0,FA,C,C
627,628,Austin Slater,596103,596103,16153,9669.0,SF,OF,OF
630,631,Austin Voth,608723,15047,15047,9484.0,BAL,RP,RP
632,633,Austin Warren,681810,681810,24937,11246.0,LAA,RP,RP
633,634,Austin Wells,669224,669224,sa3014440,11599.0,NYY,C,C
634,635,Austin Wynns,642851,642851,15271,9828.0,COL,C,C
637,638,Avisail Garcia,541645,5760,5760,8378.0,MIA,OF,OF
645,646,Bailey Falter,663559,663559,20070,11171.0,PIT,SP,SP
647,648,Bailey Ober,641927,641927,21224,11159.0,MIN,SP,SP
655,656,Beau Brieske,689225,689225,26079,11429.0,DET,SP,SP
657,658,Beau Burrows,663366,663366,18873,9962.0,FA,RP,RP
659,660,Beau Sulser,676641,676641,23420,11458.0,PIT,RP,RP
671,672,Ben Heller,621294,15100,15100,9426.0,ATL,RP,RP
674,675,Ben Joyce,690829,690829,31461,11754.0,LAA,RP,RP
677,678,Ben Lively,594902,594902,14932,8960.0,CIN,SP,SP
683,684,Ben Rortvedt,666163,666163,20287,11158.0,NYY,C,C
692,693,Bennett Sousa,656986,656986,21345,10903.0,MIL,RP,RP
700,701,Billy Hamilton,571740,10199,10199,8229.0,CHW,OF,OF
702,703,Billy McKinney,641856,15654,15654,8939.0,NYY,OF,1B/OF
711,712,Blair Calvo,663971,663971,25416,11654.0,DET,RP,RP
716,717,Blake Cederlind,664977,664977,20344,10773.0,FA,RP,RP
722,723,Blake Perkins,663368,663368,19921,11719.0,MIL,OF,OF
726,727,Blake Rutherford,666164,666164,19957,10140.0,WSH,OF,OF
727,728,Blake Sabol,666165,666165,25805,11728.0,SF,C/OF,C/OF
728,729,Blake Snell,605483,13543,13543,9328.0,SD,SP,SP
730,731,Blake Taylor,642130,642130,16418,10708.0,FA,RP,RP
733,734,Blake Trahan,664167,664167,,10091.0,CIN,SS,SS
734,735,Blake Treinen,595014,12572,12572,8756.0,LAD,RP,RP
735,736,Blake Walston,686796,686796,sa3011814,11033.0,ARI,SP,SP
740,741,Blayne Enlow,669416,669416,sa3005117,10141.0,MIN,SP,SP
741,742,Blaze Alexander,677942,677942,sa3007742,10142.0,ARI,SS,SS
743,744,Bligh Madris,676632,676632,20054,11500.0,FA,OF,1B/OF
744,745,Bo Bichette,666182,666182,19612,9820.0,TOR,SS,SS
745,746,Bo Naylor,666310,666310,21865,10143.0,CLE,C,C
748,749,Bobby Dalbec,666915,666915,19966,10144.0,BOS,1B/3B,1B/3B
750,751,Bobby Miller,676272,676272,27483,11073.0,LAD,SP,SP
752,753,Bobby Witt Jr.,677951,677951,25764,10932.0,KC,SS/3B,SS/3B
754,755,Bowden Francis,670102,670102,20548,11130.0,TOR,RP,RP
756,757,Brad Boxberger,502202,10133,10133,8319.0,CHC,RP,RP
759,760,Brad Hand,543272,9111,9111,8086.0,ATL,RP,RP
760,761,Brad Keller,641745,641745,15734,9936.0,KC,SP,SP
762,763,Brad Miller,543543,12775,12775,8533.0,TEX,3B/OF,3B/OF
764,765,Brad Wieck,623364,623364,16390,9912.0,CHC,RP,RP
769,770,Braden Shewmake,669699,669699,25817,10848.0,ATL,SS,SS
786,787,Brady Singer,663903,663903,25377,10145.0,KC,SP,SP
789,790,Braeden Ogle,669180,669180,sa917989,10911.0,FA,RP,RP
796,797,Brailyn Marquez,666622,666622,21896,10817.0,CHC,SP,SP
806,807,Brandon Belt,474832,10264,10264,8019.0,TOR,1B,1B
807,808,Brandon Bielak,656232,656232,19866,11000.0,HOU,SP,SP
810,811,Brandon Brennan,592165,13527,13527,9214.0,FA,RP,RP
811,812,Brandon Crawford,543063,5343,5343,8076.0,SF,SS,SS
813,814,Brandon Dixon,641525,641525,15214,9809.0,SD,1B/OF,1B/OF
814,815,Brandon Drury,592273,11615,11615,8931.0,LAA,1B/2B/ 3B,1B/2B/ 3B
820,821,Brandon Hughes,676714,676714,23460,11471.0,CHC,RP,RP
830,831,Brandon Lowe,664040,664040,18882,10068.0,TB,2B,2B
831,832,Brandon Marsh,669016,669016,20202,10146.0,PHI,OF,OF
834,835,Brandon Nimmo,607043,12927,12927,8955.0,NYM,OF,OF
836,837,Brandon Pfaadt,694297,694297,27782,11586.0,ARI,SP,SP
842,843,Brandon Walter,687888,687888,26056,11608.0,BOS,RP,RP
844,845,Brandon Williamson,682227,682227,25463,10877.0,CIN,SP,SP
845,846,Brandon Woodruff,605540,605540,16162,9678.0,MIL,SP,SP
857,858,Braxton Garrett,666129,666129,21844,10147.0,MIA,SP,SP
861,862,Brayan Bello,678394,678394,23920,11362.0,BOS,SP,SP
874,875,Brayan Rocchio,677587,677587,23690,10379.0,CLE,SS,SS
886,887,Brendan Donovan,680977,680977,24679,11357.0,STL,1B/2B/ 3B/ OF,1B/2B/ SS/3B/OF
887,888,Brendan McKay,656713,6567130,20186,10811.0,TB,1B,1B
888,889,Brendan McKay,656713,656713,20186,10811.0,TB,SP,SP
890,891,Brendan Rodgers,663898,663898,17907,9781.0,COL,2B,2B
891,892,Brendan White,686839,686839,26024,11674.0,DET,RP,RP
894,895,Brendon Davis,663478,663478,18587,11304.0,FA,OF,OF
895,896,Brendon Little,663893,663893,21574,11552.0,CHC,SP,SP
896,897,Brennan Bernardino,657514,657514,16835,11522.0,BOS,RP,RP
899,900,Brennen Davis,680695,680695,sa3007876,10380.0,CHC,OF,OF
905,906,Brent Headrick,687396,687396,27702,11689.0,MIN,RP,RP
906,907,Brent Honeywell,641703,641703,16466,9774.0,CHW,RP,RP
908,909,Brent Rooker,667670,667670,19627,10149.0,OAK,OF,OF
909,910,Brent Suter,608718,13942,13942,9436.0,COL,RP,RP
911,912,Brenton Doyle,686668,686668,25479,11653.0,COL,OF,OF
912,913,Bret Boswell,641385,641385,sa918769,11034.0,COL,2B,2B
916,917,Brett Baty,683146,683146,26123,11123.0,NYM,3B,3B
917,918,Brett Conine,669345,669345,sa3008024,11001.0,HOU,SP,SP
925,926,Brett Kennedy,664028,664028,17877,10070.0,CIN,SP,SP
929,930,Brett Martin,656685,656685,17369,9866.0,TEX,RP,RP
930,931,Brett Phillips,621433,14735,14735,9491.0,LAA,OF,OF
936,937,Brett Sullivan,664954,664954,18217,10951.0,SD,C,C
937,938,Brett Wisely,689172,689172,27735,11768.0,SF,2B/OF,2B/OF
938,939,Brewer Hicklen,676551,676551,20450,11477.0,KC,OF,OF
942,943,Brian Anderson,605119,605119,18289,9622.0,MIL,3B/OF,3B/OF
946,947,Brian Howard,641709,641709,sa918377,10863.0,OAK,SP,SP
950,951,Brian Miller,675649,675649,20047,10150.0,MIA,OF,OF
952,953,Brian Navarreto,640459,640459,16398,10835.0,MIL,C,C
954,955,Brian O’Keefe,657247,657247,16680,10865.0,SEA,C,C
958,959,Brian Serven,661531,661531,19422,11473.0,COL,C,C
960,961,Brice Turang,668930,668930,22186,10151.0,MIL,2B/SS,2B/SS
962,963,Brock Burke,656271,656271,17968,10483.0,TEX,RP,RP
966,967,Brock Lundquist,656668,656668,sa3002834,10607.0,TOR,OF,OF
970,971,Brock Stewart,592779,16727,16727,9392.0,MIN,RP,RP
979,980,Brooks Kriske,621139,621139,21189,10602.0,FA,RP,RP
980,981,Brooks Lee,686797,686797,sa3019973,11740.0,MIN,SS,SS
981,982,Brooks Raley,548384,548384,10061,8363.0,NYM,RP,RP
984,985,Bruce Zimmermann,669145,669145,20370,11100.0,BAL,RP,RP
986,987,Brusdar Graterol,660813,660813,20367,10152.0,LAD,RP,RP
987,988,Bryan Abreu,650556,650556,16609,10381.0,HOU,RP,RP
991,992,Bryan Baker,641329,641329,19804,10853.0,BAL,RP,RP
993,994,Bryan De La Cruz,650559,650559,19600,11247.0,MIA,OF,OF
997,998,Bryan Hoeing,663773,663773,26304,11541.0,MIA,SP,SP
1001,1002,Bryan Lavastida,681526,681526,24765,11329.0,CLE,C,C
1002,1003,Bryan Mata,667356,667356,sa917784,11069.0,BOS,SP,SP
1009,1010,Bryan Reynolds,668804,668804,19326,10153.0,PIT,OF,OF
1013,1014,Bryan Shaw,543766,8110,8110,8090.0,CHW,RP,RP
1016,1017,Bryan Woo,693433,693433,30279,11800.0,SEA,SP,SP
1027,1028,Bryce Elder,693821,693821,27779,11307.0,ATL,SP,SP
1028,1029,Bryce Harper,547180,11579,11579,7885.0,PHI,DH,OF
1030,1031,Bryce Jarvis,686826,686826,sa3014437,11031.0,ARI,SP,SP
1031,1032,Bryce Johnson,669369,669369,20002,11526.0,SF,OF,OF
1032,1033,Bryce Miller,682243,682243,29837,11636.0,SEA,SP,SP
1033,1034,Bryce Montes De Oca,656755,656755,21319,11561.0,NYM,RP,RP
1038,1039,Bryse Wilson,669060,669060,19990,10082.0,MIL,RP,RP
1041,1042,Bryson Stott,681082,681082,26294,11086.0,PHI,2B/SS,2B/SS
1046,1047,Bubba Thompson,669352,669352,22261,10154.0,TEX,OF,OF
1047,1048,Buck Farmer,571656,14814,14814,8867.0,CIN,RP,RP
1048,1049,Buddy Kennedy,671083,671083,22505,10382.0,ARI,2B,2B
1051,1052,Burl Carraway,693310,693310,sa3014495,11074.0,CHC,RP,RP
1053,1054,Byron Buxton,621439,14161,14161,8674.0,MIN,OF,OF
1057,1058,C.J. Cron,543068,12546,12546,8667.0,LAA,1B,1B
1063,1064,Cade Cavalli,676917,676917,27473,10971.0,WSH,SP,SP
1069,1070,Cade Marlowe,687799,687799,25505,11657.0,SEA,OF,OF
1077,1078,Cal Mitchell,668751,668751,22169,10155.0,PIT,OF,OF
1078,1079,Cal Quantrill,615698,615698,19312,9959.0,CLE,SP,SP
1079,1080,Cal Raleigh,663728,663728,21534,10866.0,SEA,C,C
1080,1081,Cal Stevenson,670276,670276,22411,10383.0,PHI,OF,OF
1086,1087,Caleb Ferguson,657571,657571,19349,10041.0,LAD,RP,RP
1088,1089,Caleb Hamilton,643348,643348,19842,10945.0,BOS,C,C
1089,1090,Caleb Kilian,668873,668873,26213,11416.0,CHC,RP,RP
1094,1095,Caleb Simpson,643539,643539,sa738717,11093.0,CLE,RP,RP
1096,1097,Caleb Thielbar,573204,573204,10078,8494.0,MIN,RP,RP
1099,1100,Calvin Faucher,676534,676534,20116,11395.0,TB,RP,RP
1101,1102,Cam Alldred,682027,682027,25078,11466.0,PIT,SP,SP
1107,1108,Cam Gallagher,595956,12981,12981,9544.0,CLE,C,C
1109,1110,Cam Robinson,676515,676515,sa3005216,11627.0,MIL,RP,RP
1112,1113,Camden Duzenack,670427,670427,sa873988,10591.0,ARI,2B,2B
1124,1125,Camilo Doval,666808,666808,21992,11105.0,SF,RP,RP
1125,1126,Canaan Smith-Njigba,675986,675986,23264,11376.0,PIT,OF,OF
1128,1129,Carl Chester,656309,656309,sa829813,9988.0,TEX,OF,OF
1129,1130,Carl Edwards Jr.,605218,13607,13607,9329.0,WSH,RP,RP
1140,1141,Carlos Carrasco,471911,6632,6632,7183.0,NYM,SP,SP
1145,1146,Carlos Correa,621043,14162,14162,8656.0,MIN,SS,SS
1152,1153,Carlos Estevez,608032,14542,14542,9294.0,LAA,RP,RP
1161,1162,Carlos Hernandez,672578,672578,22713,10156.0,KC,RP,RP
1184,1185,Carlos Perez,542208,10642,10642,9035.0,OAK,C,C
1185,1186,Carlos Perez,656024,656024,20805,11543.0,CHW,C,C
1188,1189,Carlos Rodon,607074,16137,16137,8942.0,NYY,SP,SP
1189,1190,Carlos Rodriguez,677578,677578,sa3005478,10157.0,MIL,OF,OF
1190,1191,Carlos Rodriguez,692230,692230,sa3018116,10157.0,MIL,SP,SP
1196,1197,Carlos Santana,467793,2396,2396,7514.0,MIL,1B,1B
1200,1201,Carlos Soto,666728,666728,sa900974,10882.0,SL,C,C
1204,1205,Carlos Vargas,672841,672841,22915,10158.0,ARI,RP,RP
1208,1209,Carmen Mlodzinski,669387,669387,27572,11810.0,PIT,RP,RP
1211,1212,Carson Fulmer,608334,18311,18311,9404.0,LAA,RP,RP
1212,1213,Carson Kelly,608348,13620,13620,9452.0,ARI,C,C
1228,1229,Carter Kieboom,666198,666198,19958,10505.0,WSH,3B,3B
1236,1237,Casey Lawrence,596271,596271,11121,9643.0,STL,RP,RP
1237,1238,Casey Legumina,668984,668984,25921,11690.0,CIN,RP,RP
1239,1240,Casey Mize,663554,663554,20492,10159.0,DET,SP,SP
1241,1242,Casey Sadler,594987,594987,11209,8770.0,SEA,RP,RP
1242,1243,Casey Schmitt,669477,669477,27577,11743.0,SF,2B/SS/ 3B,2B/SS/ 3B
1243,1244,Cavan Biggio,624415,624415,19252,10160.0,TOR,1B/2B/ OF,1B/2B/ OF
1248,1249,Ceddanne Rafaela,678882,678882,sa3005581,11628.0,BOS,OF,OF
1250,1251,Cedric Mullins,656775,656775,17929,10072.0,BAL,OF,OF
1265,1266,Cesar Salazar,663967,663967,21587,11781.0,HOU,C,C
1266,1267,Cesar Valdez,491624,9013,9013,7374.0,FA,RP,RP
1272,1273,Chad Green,643338,15552,15552,9361.0,TOR,RP,RP
1273,1274,Chad Kuhl,641771,14975,14975,9390.0,FA,RP,RP
1275,1276,Chad Pinder,640461,15191,15191,9433.0,FA,OF,OF
1276,1277,Chad Smith,663385,663385,20190,11478.0,OAK,RP,RP
1280,1281,Chad Wallach,595453,17161,17161,9740.0,LAA,C,C
1281,1282,Chadwick Tromp,644433,644433,16953,11085.0,ATL,C,C
1285,1286,Chance Sisco,642082,15694,15694,9751.0,FA,C,C
1296,1297,Charles Leblanc,641779,641779,19813,11520.0,MIA,2B,2B/3B
1300,1301,Charlie Blackmon,453568,7859,7859,7553.0,COL,OF,OF
1301,1302,Charlie Culberson,518586,3298,3298,8287.0,ATL,3B,2B/3B/ OF
1303,1304,Charlie Morton,450203,4676,4676,6918.0,ATL,SP,SP
1306,1307,Chas McCormick,676801,676801,19599,10007.0,HOU,OF,OF
1307,1308,Chase Anderson,502624,6895,6895,8781.0,COL,SP,SP
1311,1312,Chase De Jong,608328,15036,15036,9538.0,PIT,RP,RP
1325,1326,Chase Silseth,681217,681217,30074,11468.0,LAA,SP,SP
1331,1332,Chasen Shreve,592741,10855,10855,17698.0,DET,RP,RP
1336,1337,Chi Chi Gonzalez,592346,14663,14663,9053.0,MIA,RP,RP
1339,1340,Chris Bassitt,605135,12304,12304,8879.0,TOR,SP,SP
1342,1343,Chris Devenski,606965,12763,12763,9342.0,LAA,RP,RP
1344,1345,Chris Flexen,623167,623167,13896,9502.0,COL,RP,RP
1347,1348,Chris Martin,455119,455119,11847,8768.0,BOS,RP,RP
1351,1352,Chris Murphy,669684,669684,26214,11710.0,BOS,RP,RP
1354,1355,Chris Okey,608360,608360,19245,11490.0,LAA,C,C
1355,1356,Chris Owings,572008,10030,10030,8611.0,PIT,2B,2B/SS
1356,1357,Chris Paddack,663978,663978,20099,10161.0,MIN,SP,SP
1358,1359,Chris Rodriguez,669735,669735,22310,10162.0,LAA,RP,RP
1362,1363,Chris Sale,519242,10603,10603,7887.0,BOS,SP,SP
1364,1365,Chris Stratton,608717,13761,13761,9292.0,TEX,RP,RP
1365,1366,Chris Taylor,621035,13757,13757,8852.0,LAD,2B/SS/ 3B/OF,2B/SS/ 3B/OF
1366,1367,Chris Vallimont,681808,681808,24935,11365.0,CLE,SP,SP
1369,1370,Christian Arroyo,624414,16434,16434,8969.0,BOS,2B,1B/2B/ SS/3B/OF
1370,1371,Christian Bethancourt,542194,10028,10028,8615.0,TB,C/1B,C/1B
1377,1378,Christian Encarnacion-Strand,687952,687952,30011,11736.0,CIN,3B,3B
1393,1394,Christian Vazquez,543877,9774,9774,8843.0,MIN,C,C/1B
1394,1395,Christian Walker,572233,13419,13419,8924.0,ARI,1B,1B
1395,1396,Christian Yelich,592885,11477,11477,7903.0,MIL,OF,OF
1410,1411,Christopher Morel,666624,666624,21897,11154.0,CHC,2B/OF,2B/SS/ 3B/OF
1420,1421,Chuckie Robinson,642020,642020,19824,11532.0,CIN,C,C
