#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
213,Alejo Lopez,664670,664670,21127,11230,CIN,2B,2B
214,Alek Jacob,689690,689690,29628,11824,SD,RP,RP
215,Alek Manoah,666201,666201,26410,10854,TOR,SP,SP
216,Alek Thomas,677950,677950,23792,10126,ARI,OF,OF
217,Alen Hanson,593700,12926,12926,,FA,2B,2B/OF
218,Alerick Soularie,669442,669442,sa3014436,,MIN,2B,2B
219,Alessander De La Cruz,807987,807987,sa3021132,,COL,OF,OF
220,Alex Avila,488671,7476,7476,,FA,C,C
221,Alex Binelas,681323,681323,sa3017044,,BOS,3B,3B
222,Alex Blandino,607468,16271,16271,,FA,1B,1B
223,Alex Bregman,608324,17678,17678,9415,HOU,3B,3B
224,Alex Bustamante,806628,806628,sa3020631,,NYY,RP,RP
225,Alex Call,669743,669743,19296,10520,WSH,OF,OF
226,Alex Claudio,592222,12890,12890,8868,MIL,RP,RP
227,Alex Cobb,502171,6562,6562,8058,SF,SP,SP
228,Alex Colome,517008,6661,6661,8505,FA,RP,RP
229,Alex Cornwell,676498,676498,sa3017501,,STL,SP,SP
230,Alex De Goti,621008,621008,19477,,MIN,2B,2B
231,Alex De Jesus,682942,682942,sa3008842,,TOR,SS,SS
232,Alex Dickerson,543105,12649,12649,,FA,OF,OF
233,Alex Erro,690622,690622,sa3010177,,BOS,C,C
234,Alex Faedo,656412,656412,19874,10127,DET,SP,SP
235,Alex FaGalde,676891,676891,sa3004602,10889,STL,SP,SP
236,Alex Freeland,690976,690976,sa3020653,,LAD,SS,SS
237,Alex Hall,673064,673064,sa3007023,,LAD,C,C
238,Alex Hoppe,695380,695380,sa3020836,,BOS,RP,RP
239,Alex Iadisernia,805280,805280,sa3019867,,STL,OF,OF
240,Alex Isola,684576,684576,sa1170516,,MIN,C,C
241,Alex Jackson,656577,656577,17276,8963,TB,C,C
242,Alex Kirilloff,666135,666135,20325,10128,MIN,1B/OF,1B/OF
243,Alex Lange,656638,656638,19883,11062,DET,RP,RP
244,Alex Mauricio,676089,676089,sa3004337,,NYY,RP,RP
245,Alex McFarlane,686934,686934,sa3020633,,PHI,SP,SP
246,Alex McGarry,685127,685127,sa3015015,,CIN,1B,1B
247,Alex McKenna,665173,665173,sa3008003,,FA,OF,OF
248,Alex McRae,656725,656725,16317,,FA,RP,RP
249,Alex Phillips,641974,641974,sa3008595,,MIN,RP,RP
250,Alex Ramirez,691267,691267,sa3014695,,NYM,OF,OF
251,Alex Reyes,621052,15015,15015,8973,LAD,RP,RP
252,Alex Santos II,691012,691012,sa3014684,,HOU,SP,SP
253,Alex Scherff,669085,669085,sa3005397,,MIN,RP,RP
254,Alex Segal,669393,669393,sa919036,,ATL,RP,RP
255,Alex Speas,666208,666208,21859,10985,TEX,RP,RP
256,Alex Troop,675960,675960,sa915638,,WSH,SP,SP
257,Alex Valverde,663820,663820,sa3005207,,NYM,SP,SP
